route_id,departure_station_id,arrival_station_id,departure_station_name,arrival_station_name,departure_city_name,arrival_city_name,departure_country_name,arrival_country_name,departure_country_code,arrival_country_code,operator_name,is_international,distance_km,trip_count,weekly_frequency,daily_frequency_avg,avg_duration_minutes,min_duration_minutes,max_duration_minutes,main_train_type,has_night_train,has_day_train,avg_num_stops,min_num_stops,max_num_stops,avg_quality_score,min_quality_score,quality_issues_count,co2_train_kg,co2_plane_kg,co2_saving_kg,co2_saving_percent,substitution_score,substitution_potential
1,4145,4154,Tours,Saint-Pierre-des-Corps,Tours,Saint-Pierre-des-Corps,France,France,FR,FR,SNCF VOYAGEURS,0,2.35,38,1.83,0.26,5.18,5.0,6.0,day,0,1,0.0,0,0,100.0,100,0,0.03,0.54,0.51,93.91,45,moyen
2,4154,4145,Saint-Pierre-des-Corps,Tours,Saint-Pierre-des-Corps,Tours,France,France,FR,FR,SNCF VOYAGEURS,0,2.35,37,2.4,0.34,5.19,5.0,7.0,day,0,1,0.0,0,0,100.0,100,0,0.03,0.54,0.51,93.91,45,moyen
3,7129,6672,Lyon Part Dieu,Dijon,Lyon Part Dieu,Dijon,France,France,FR,FR,SNCF VOYAGEURS,0,174.25,54,2.57,0.37,118.19,112.0,172.0,day,0,1,7.63,1,8,100.0,100,0,2.44,40.08,37.64,93.91,55,moyen
4,6672,7129,Dijon,Lyon Part Dieu,Dijon,Lyon Part Dieu,France,France,FR,FR,SNCF VOYAGEURS,0,174.25,56,2.55,0.36,119.45,114.0,142.0,day,0,1,7.11,0,8,100.0,100,0,2.44,40.08,37.64,93.91,55,moyen
5,6672,7078,Dijon,Lyon Perrache,Dijon,Lyon Perrache,France,France,FR,FR,SNCF VOYAGEURS,0,175.8,4,0.28,0.04,128.5,121.0,131.0,day,0,1,8.75,8,9,100.0,100,0,2.46,40.43,37.97,93.91,50,moyen
6,6672,7221,Dijon,Mâcon,Dijon,Mâcon,France,France,FR,FR,SNCF VOYAGEURS,0,114.55,9,0.41,0.06,93.11,73.0,107.0,day,0,1,11.78,4,14,100.0,100,0,1.6,26.35,24.74,93.91,40,faible
7,1369,327,Strasbourg,Paris Est,Strasbourg,Paris Est,France,France,FR,FR,SNCF VOYAGEURS,0,395.5,137,5.92,0.85,119.16,103.0,224.0,day,0,1,0.63,0,5,100.0,100,0,5.54,90.96,85.43,93.91,85,fort
8,327,1369,Paris Est,Strasbourg,Paris Est,Strasbourg,France,France,FR,FR,SNCF VOYAGEURS,0,395.5,149,6.44,0.92,132.42,104.0,203.0,day,0,1,1.2,0,5,100.0,100,0,5.54,90.96,85.43,93.91,85,fort
9,1369,6212,Strasbourg,Paris Gare de Lyon Hall 1 - 2,Strasbourg,Paris Gare de Lyon Hall 1 - 2,France,France,FR,FR,SNCF VOYAGEURS,0,394.25,5,5.0,0.71,123.0,112.0,134.0,day,0,1,0.0,0,0,100.0,100,0,5.52,90.68,85.16,93.91,85,fort
10,6212,1369,Paris Gare de Lyon Hall 1 - 2,Strasbourg,Paris Gare de Lyon Hall 1 - 2,Strasbourg,France,France,FR,FR,SNCF VOYAGEURS,0,394.25,7,7.0,1.0,139.0,116.0,204.0,day,0,1,0.86,0,3,100.0,100,0,5.52,90.68,85.16,93.91,85,fort
11,464,327,Nancy,Paris Est,Nancy,Paris Est,France,France,FR,FR,SNCF VOYAGEURS,0,280.34,110,4.75,0.68,96.85,88.0,116.0,day,0,1,0.76,0,2,100.0,100,0,3.92,64.48,60.55,93.91,80,fort
12,464,6212,Nancy,Paris Gare de Lyon Hall 1 - 2,Nancy,Paris Gare de Lyon Hall 1 - 2,France,France,FR,FR,SNCF VOYAGEURS,0,279.09,4,4.0,0.57,113.5,106.0,122.0,day,0,1,0.5,0,1,100.0,100,0,3.91,64.19,60.28,93.91,80,fort
13,327,464,Paris Est,Nancy,Paris Est,Nancy,France,France,FR,FR,SNCF VOYAGEURS,0,280.34,75,3.24,0.46,99.77,90.0,110.0,day,0,1,0.96,0,2,100.0,100,0,3.92,64.48,60.55,93.91,80,fort
14,1190,327,Metz,Paris Est,Metz,Paris Est,France,France,FR,FR,SNCF VOYAGEURS,0,279.78,55,2.38,0.34,87.95,82.0,103.0,day,0,1,0.45,0,1,100.0,100,0,3.92,64.35,60.43,93.91,75,fort
15,327,1190,Paris Est,Metz,Paris Est,Metz,France,France,FR,FR,SNCF VOYAGEURS,0,279.78,45,1.94,0.28,85.78,83.0,92.0,day,0,1,0.13,0,1,100.0,100,0,3.92,64.35,60.43,93.91,75,fort
16,6212,1190,Paris Gare de Lyon Hall 1 - 2,Metz,Paris Gare de Lyon Hall 1 - 2,Metz,France,France,FR,FR,SNCF VOYAGEURS,0,279.12,4,4.0,0.57,101.75,100.0,105.0,day,0,1,0.0,0,0,100.0,100,0,3.91,64.2,60.29,93.91,80,fort
17,715,327,Reims,Paris Est,Reims,Paris Est,France,France,FR,FR,SNCF VOYAGEURS,0,128.58,57,2.46,0.35,46.91,45.0,60.0,day,0,1,0.0,0,0,100.0,100,0,1.8,29.57,27.77,93.91,45,moyen
18,327,715,Paris Est,Reims,Paris Est,Reims,France,France,FR,FR,SNCF VOYAGEURS,0,128.58,40,1.72,0.25,46.02,44.0,48.0,day,0,1,0.0,0,0,100.0,100,0,1.8,29.57,27.77,93.91,45,moyen
19,8148,1369,Nice-Ville,Strasbourg,Nice-Ville,Strasbourg,France,France,FR,FR,SNCF VOYAGEURS,0,543.91,13,0.58,0.08,542.54,537.0,573.0,day,0,1,15.69,14,16,100.0,100,0,7.61,125.1,117.48,93.91,50,moyen
20,464,8148,Nancy,Nice-Ville,Nancy,Nice-Ville,France,France,FR,FR,SNCF VOYAGEURS,0,560.6,38,1.74,0.25,618.63,616.0,667.0,day,0,1,15.95,15,16,100.0,100,0,7.85,128.94,121.09,93.91,55,moyen
21,1369,8148,Strasbourg,Nice-Ville,Strasbourg,Nice-Ville,France,France,FR,FR,SNCF VOYAGEURS,0,543.91,26,1.14,0.16,545.77,545.0,546.0,day,0,1,14.85,14,15,100.0,100,0,7.61,125.1,117.48,93.91,55,moyen
22,1369,7972,Strasbourg,Marseille Saint-Charles,Strasbourg,Marseille Saint-Charles,France,France,FR,FR,SNCF VOYAGEURS,0,614.84,21,0.92,0.13,349.14,331.0,368.0,day,0,1,7.81,5,9,100.0,100,0,8.61,141.41,132.81,93.91,62,moyen
23,1369,8454,Strasbourg,Montpellier Saint-Roch,Strasbourg,Montpellier Saint-Roch,France,France,FR,FR,SNCF VOYAGEURS,0,628.26,6,0.26,0.04,365.0,365.0,365.0,day,0,1,8.0,8,8,100.0,100,0,8.8,144.5,135.7,93.91,62,moyen
24,7972,1369,Marseille Saint-Charles,Strasbourg,Marseille Saint-Charles,Strasbourg,France,France,FR,FR,SNCF VOYAGEURS,0,614.84,21,0.91,0.13,355.81,331.0,387.0,day,0,1,7.9,5,9,100.0,100,0,8.61,141.41,132.81,93.91,62,moyen
25,7972,1190,Marseille Saint-Charles,Metz,Marseille Saint-Charles,Metz,France,France,FR,FR,SNCF VOYAGEURS,0,648.58,8,0.41,0.06,423.62,407.0,426.0,day,0,1,9.5,6,10,100.0,100,0,9.08,149.17,140.09,93.91,62,moyen
26,8454,1369,Montpellier Saint-Roch,Strasbourg,Montpellier Saint-Roch,Strasbourg,France,France,FR,FR,SNCF VOYAGEURS,0,628.26,15,0.68,0.1,372.67,355.0,384.0,day,0,1,8.73,8,9,100.0,100,0,8.8,144.5,135.7,93.91,62,moyen
27,8454,1190,Montpellier Saint-Roch,Metz,Montpellier Saint-Roch,Metz,France,France,FR,FR,SNCF VOYAGEURS,0,636.88,35,1.51,0.22,431.03,415.0,432.0,day,0,1,9.94,9,10,100.0,100,0,8.92,146.48,137.57,93.91,67,moyen
28,1125,8454,Thionville,Montpellier Saint-Roch,Thionville,Montpellier Saint-Roch,France,France,FR,FR,SNCF VOYAGEURS,0,662.77,5,3.89,0.56,445.0,445.0,445.0,day,0,1,10.0,10,10,100.0,100,0,9.28,152.44,143.16,93.91,72,fort
29,1190,8454,Metz,Montpellier Saint-Roch,Metz,Montpellier Saint-Roch,France,France,FR,FR,SNCF VOYAGEURS,0,636.88,12,0.53,0.08,422.25,418.0,426.0,day,0,1,9.0,9,9,100.0,100,0,8.92,146.48,137.57,93.91,62,moyen
30,4461,1369,Bordeaux Saint-Jean,Strasbourg,Bordeaux Saint-Jean,Strasbourg,France,France,FR,FR,SNCF VOYAGEURS,0,757.21,42,1.84,0.26,336.31,331.0,352.0,day,0,1,7.67,6,8,100.0,100,0,10.6,174.16,163.56,93.91,72,fort
31,1369,4461,Strasbourg,Bordeaux Saint-Jean,Strasbourg,Bordeaux Saint-Jean,France,France,FR,FR,SNCF VOYAGEURS,0,757.21,30,1.34,0.19,354.63,343.0,369.0,day,0,1,8.43,7,9,100.0,100,0,10.6,174.16,163.56,93.91,72,fort
32,2696,3290,Paris Montparnasse Hall 1 - 2,Rennes,Paris Montparnasse Hall 1 - 2,Rennes,France,France,FR,FR,SNCF VOYAGEURS,0,305.56,81,3.88,0.55,108.37,85.0,146.0,day,0,1,1.26,0,3,100.0,100,0,4.28,70.28,66.0,93.91,80,fort
33,3290,2696,Rennes,Paris Montparnasse Hall 1 - 2,Rennes,Paris Montparnasse Hall 1 - 2,France,France,FR,FR,SNCF VOYAGEURS,0,305.56,47,2.11,0.3,110.04,89.0,143.0,day,0,1,1.28,0,3,100.0,100,0,4.28,70.28,66.0,93.91,75,fort
34,3452,2696,Quimper,Paris Montparnasse Hall 1 - 2,Quimper,Paris Montparnasse Hall 1 - 2,France,France,FR,FR,SNCF VOYAGEURS,0,482.37,101,4.91,0.7,230.4,205.0,250.0,day,0,1,4.7,2,8,100.0,100,0,6.75,110.95,104.19,93.91,80,fort
35,2696,3592,Paris Montparnasse Hall 1 - 2,Saint-Malo,Paris Montparnasse Hall 1 - 2,Saint-Malo,France,France,FR,FR,SNCF VOYAGEURS,0,317.8,62,3.01,0.43,157.45,136.0,174.0,day,0,1,2.74,1,4,100.0,100,0,4.45,73.09,68.64,93.91,80,fort
36,3486,2696,Lorient,Paris Montparnasse Hall 1 - 2,Lorient,Paris Montparnasse Hall 1 - 2,France,France,FR,FR,SNCF VOYAGEURS,0,437.52,15,0.75,0.11,192.4,173.0,206.0,day,0,1,3.07,1,5,100.0,100,0,6.13,100.63,94.5,93.91,70,fort
37,2696,3486,Paris Montparnasse Hall 1 - 2,Lorient,Paris Montparnasse Hall 1 - 2,Lorient,France,France,FR,FR,SNCF VOYAGEURS,0,437.52,14,0.69,0.1,195.93,181.0,223.0,day,0,1,3.43,2,6,100.0,100,0,6.13,100.63,94.5,93.91,70,fort
38,4461,2696,Bordeaux Saint-Jean,Paris Montparnasse Hall 1 - 2,Bordeaux Saint-Jean,Paris Montparnasse Hall 1 - 2,France,France,FR,FR,SNCF VOYAGEURS,0,497.15,222,9.65,1.38,168.9,128.0,223.0,day,0,1,1.81,0,5,100.0,100,0,6.96,114.34,107.38,93.91,85,fort
