station_id,station_name,station_code,latitude,longitude,timezone,city_id
1,FIGUERES-VILAFANT,StopArea:OCE71043075,42.264581,2.943028,Europe/Paris,4069
2,FIGUERES-VILAFANT,StopPoint:OCETGV INOUI-71043075,42.264581,2.943028,Europe/Paris,4069
3,Barcelone-Sants,StopArea:OCE71718010,41.378961,2.139834,Europe/Paris,2909
4,Barcelone-Sants,StopPoint:OCETGV INOUI-71718010,41.378961,2.139834,Europe/Paris,2909
5,GIRONA,StopArea:OCE71793000,41.979371,2.816957,Europe/Paris,4215
6,GIRONA,StopPoint:OCETGV INOUI-71793000,41.979371,2.816957,Europe/Paris,4215
7,Portbou,StopArea:OCE71793150,42.424701,3.158034,Europe/Paris,6274
8,Portbou,StopPoint:OCETrain TER-71793150,42.424701,3.158034,Europe/Paris,6274
9,Augsburg Hbf,StopArea:OCE80021402,48.3654,10.886,Europe/Paris,2798
10,Augsburg Hbf,StopPoint:OCEICE-80021402,48.3654,10.886,Europe/Paris,2798
11,Berlin-Spandau,StopArea:OCE80030254,52.5344,13.1984,Europe/Paris,3011
12,Berlin-Spandau,StopPoint:OCEICE-80030254,52.5344,13.1984,Europe/Paris,3011
13,Berlin-Gesundbrunnen,StopArea:OCE80077990,52.5488,13.391,Europe/Paris,3010
14,Berlin-Gesundbrunnen,StopPoint:OCEICE-80077990,52.5488,13.391,Europe/Paris,3010
15,Francfort sur le Main,StopArea:OCE80110684,50.1073,8.6624,Europe/Paris,4170
16,Francfort sur le Main,StopPoint:OCEICE-80110684,50.1073,8.6624,Europe/Paris,4170
17,Mannheim Hbf,StopArea:OCE80140087,49.4794,8.4696,Europe/Paris,5403
18,Mannheim Hbf,StopPoint:OCEICE-80140087,49.4794,8.4696,Europe/Paris,5403
19,Heidelberg Hbf,StopArea:OCE80140210,49.4035,8.6754,Europe/Paris,4419
20,Heidelberg Hbf,StopPoint:OCEICE-80140210,49.4035,8.6754,Europe/Paris,4419
21,Karlsruhe Hbf,StopArea:OCE80142281,48.9935,8.4019,Europe/Paris,4582
22,Karlsruhe Hbf,StopPoint:OCEICE-80142281,48.9935,8.4019,Europe/Paris,4582
23,Baden-Baden,StopArea:OCE80142778,48.7903,8.1909,Europe/Paris,2859
24,Baden-Baden,StopPoint:OCEICE-80142778,48.7903,8.1909,Europe/Paris,2859
25,Appenweier,StopArea:OCE80142893,48.5419,7.9735,Europe/Paris,2712
26,Appenweier,StopPoint:OCECar TER-80142893,48.5419,7.9735,Europe/Paris,2712
27,Appenweier,StopPoint:OCETrain TER-80142893,48.5419,7.9735,Europe/Paris,2712
28,Legelshurst,StopArea:OCE80142901,48.5585,7.9138,Europe/Paris,5070
29,Legelshurst,StopPoint:OCECar TER-80142901,48.5585,7.9138,Europe/Paris,5070
30,Legelshurst,StopPoint:OCETrain TER-80142901,48.5585,7.9138,Europe/Paris,5070
31,Kork,StopArea:OCE80142919,48.5702,7.8744,Europe/Paris,4600
32,Kork,StopPoint:OCECar TER-80142919,48.5702,7.8744,Europe/Paris,4600
33,Kork,StopPoint:OCETrain TER-80142919,48.5702,7.8744,Europe/Paris,4600
34,Kehl,StopArea:OCE80142927,48.5767,7.8063,Europe/Paris,4583
35,Kehl,StopPoint:OCECar TER-80142927,48.5767,7.8063,Europe/Paris,4583
36,Kehl,StopPoint:OCETrain TER-80142927,48.5767,7.8063,Europe/Paris,4583
37,Offenburg,StopArea:OCE80143099,48.4765,7.9468,Europe/Paris,5997
38,Offenburg,StopPoint:OCECar TER-80143099,48.4765,7.9468,Europe/Paris,5997
39,Offenburg,StopPoint:OCETGV INOUI-80143099,48.4765,7.9468,Europe/Paris,5997
40,Offenburg,StopPoint:OCETrain TER-80143099,48.4765,7.9468,Europe/Paris,5997
41,Lahr (Schwarzw),StopArea:OCE80143198,48.3406,7.8353,Europe/Paris,4859
42,Lahr (Schwarzw),StopPoint:OCETGV INOUI-80143198,48.3406,7.8353,Europe/Paris,4859
43,Ringsheim,StopArea:OCE80143255,48.2489,7.7732,Europe/Paris,6421
44,Ringsheim,StopPoint:OCETGV INOUI-80143255,48.2489,7.7732,Europe/Paris,6421
45,Freiburg (Breisgau) Hbf,StopArea:OCE80143503,47.9979,7.8416,Europe/Paris,4178
46,Freiburg (Breisgau) Hbf,StopPoint:OCETGV INOUI-80143503,47.9979,7.8416,Europe/Paris,4178
47,Freiburg (Breisgau) Hbf,StopPoint:OCETrain TER-80143503,47.9979,7.8416,Europe/Paris,4178
48,Muellheim (Baden),StopArea:OCE80144139,47.81,7.5996,Europe/Paris,5799
49,Muellheim (Baden),StopPoint:OCECar TER-80144139,47.81,7.5996,Europe/Paris,5799
