Nom_Gare;Trigramme;Segment(s) DRG;Position géographique;Code commune;Code_UIC;Id_Gare
Abancourt;ABT;C;49.6852237, 1.7743058;60001;87313759;a99c4503-7fa0-4176-b908-74f5e50cba32
Abbaretz;AAR;C;47.5546432, -1.5244159;44001;87481614;5fe4e77c-2519-413d-a242-4a525e656a09
Abbeville;ABB;B;50.10221, 1.82449;80001;87317362;c4a3e70f-d42c-4026-98e6-35089225688a
Ablon-sur-Seine;ABL;B;48.725468, 2.419151;94001;87545269;96392cdd-5664-46c7-bd18-780813f01d2c
Achères Grand Cormier;GCR;B;48.9551835, 2.0919031;78551;87386052;4f9a3fda-8e53-4286-963c-e2c8a16cb329
Achères Ville;ACW;B;48.97011, 2.07739;78005;87381657;06c24f55-a2cc-4bde-904e-faff0936123c
Achiet-le-Grand;ACT;C;50.1317525, 2.780168;62005;87342048;a504e6c8-a3ad-416b-988e-f4ecd4da9161
Aéroport Charles de Gaulle 1;RSY;B;49.00956, 2.56135;93073;87271460;6dd2d30c-23e9-4da1-8719-1d78758c65c3
Aéroport Charles de Gaulle 2 TGV;RYT;"A;A";49.003652, 2.570892;93073;"87271494;87001479";f41e853e-620f-4ce9-988b-4f7a75625dd2
Agay;AGH;C;43.4313701, 6.8564997;83118;87757559;f076fe32-f3e3-48c3-acb0-a25608013f54
Agde;AGD;B;43.31728, 3.466203;34003;87781278;5e2651c2-c066-4576-9eca-e5b7d13b7c23
Agen;AGN;A;44.208311, 0.620932;47001;87586008;8124fc69-cfb2-4661-8796-2a8420819425
Agonac;AGA;C;45.2865966, 0.7486706;24002;87595157;7a613ee0-7c7b-4bd7-99f0-dfbd2d40da22
Aguilcourt - Variscourt;AGK;C;49.408017, 3.973137;02761;87171702;8b8d7f9a-8a49-4771-b599-80fc04a1b0b5
Aigrefeuille le Thou;AGR;C;46.09402, -0.95168;17447;87485193;550d133f-4284-40fb-b959-8d6f195fb26a
Aiguebelette-le-Lac;AGQ;C;45.5363048, 5.8131468;73001;87741421;8a421622-3417-4c92-bbdc-07c262ba9407
Aiguebelle;AEB;C;45.5437225, 6.3067175;73002;87741256;89350f13-3879-4622-a546-f8af726da6a2
Aigueperse;AGE;C;46.0147884, 3.1982621;63001;87734129;3d17ce6d-fe36-4de0-ad76-b02766ecb8f2
Aigues-Mortes;AIM;C;43.5709008, 4.1912102;30003;87775858;846c59b9-798f-481f-b116-0de1d78b195d
Aiguillon;AIN;B;44.2987224, 0.3352388;47004;87586693;6f600345-4165-452b-8412-f91564f39b49
Aillevillers;AIP;C;47.9138876, 6.3372988;70171;87185629;d2caac97-11b4-4d94-9787-729b866debfb
Ailly-sur-Noye;ASN;B;49.75448, 2.36419;80010;87313221;7ce516b0-cfc2-4507-bea4-ada2e134b5d1
Ailly-sur-Somme;AYS;B;49.92838, 2.20059;80011;87313098;77400a97-e6f2-47c2-8336-287831acaae9
Aimargues;AIA;C;43.6786107, 4.2082933;30006;87775833;997598bc-3f58-4c8c-8d76-34d313a66011
Aime - La Plagne;ANJ;B;45.5544, 6.648646;73006;87741769;c15fb623-cce8-4e27-b6a0-6cccab2de7b4
Aiserey;ASI;C;47.170501, 5.1582447;21005;87713636;f93227a9-4b90-4238-aa07-814474606031
Aix-en-Provence;AXP;B;43.522912, 5.445345;13001;87751404;28efb063-7370-422c-8a6c-b9def7a8be8c
Aix-en-Provence TGV;AXV;A;43.455237, 5.317534;13001;87319012;4ab19d76-8365-40a3-95d3-29357c4990ef
Aix-les-Bains le Revard;AIX;B;45.688161, 5.909371;73008;87741132;f8e59bde-55d4-41d2-bb80-79b1a19b5210
